Team;TotalProfit;AvgOddHome;AvgOddAway;HomeOddSuccessRate;AwayOddSuccessRate;TeamOddSuccessRate
Arsenal;1.0389;1.65987;2.32659;68.42105;84.21053;76.31579
Aston Villa;4.933;3.35026;6.16537;47.36842;47.36842;47.36842
Cardiff;-9.131;3.84821;7.66926;42.10526;68.42105;55.26316
Chelsea;7.311;1.46105;2.17132;78.94737;42.10526;60.52632
Crystal Palace;13.328;4.42221;8.31921;73.68421;57.89474;65.78947
Everton;5.513;1.99826;3.06037;68.42105;57.89474;63.15789
Fulham;-11.773;3.87268;7.16395;63.15789;73.68421;68.42105
Hull;-6.722;3.42168;6.86876;63.15789;68.42105;65.78947
Liverpool;5.0394;1.51916;2.15718;84.21053;57.89474;71.05263
Man City;2.232;1.391;1.79195;89.47368;63.15789;76.31579
Man United;-7.67;1.67074;2.28282;52.63158;73.68421;63.15789
Newcastle;9.213;2.84453;5.55847;68.42105;57.89474;63.15789
Norwich;-13.379;3.62747;6.81111;42.10526;73.68421;57.89474
Southampton;-1.866;2.34958;3.83721;47.36842;47.36842;47.36842
Stoke;6.3995;3.35271;6.31942;47.36842;57.89474;52.63158
Sunderland;18.507;3.52668;6.90542;47.36842;47.36842;47.36842
Swansea;-13.934;2.599;4.72258;63.15789;57.89474;60.52632
Tottenham;3.2963;1.92138;3.03001;68.42105;63.15789;65.78947
West Brom;-11.544;3.08616;5.74705;31.57895;52.63158;42.10526
West Ham;-0.659;3.39468;6.24626;57.89474;52.63158;55.26316
