Referee;RefCorrectPredictions;RefTotalPredictions;RefOddSuccessRate
A Marriner;12;20;60
A Taylor;16;30;53.33333
C Foy;11;15;73.33333
C Pawson;13;21;61.90476
J Moss;16;30;53.33333
K Friend;13;23;56.52174
K Stroud;1;1;100
L Mason;16;25;64
L Probert;1;7;14.28571
M Atkinson;13;32;40.625
M Clattenburg;16;27;59.25926
M Dean;14;29;48.27586
M Jones;10;21;47.61905
M Oliver;15;28;53.57143
N Swarbrick;12;19;63.15789
P Dowd;5;21;23.80952
P Tierney;1;1;100
R East;12;17;70.58824
R Madley;6;11;54.54545
